_id,date,agegrp,covid_deaths
316,2020-05-30T00:00:00,80+,12
317,2020-05-31T00:00:00,40-49,1
318,2020-05-31T00:00:00,50-59,1
319,2020-05-31T00:00:00,60-69,2
320,2020-05-31T00:00:00,70-79,1
321,2020-05-31T00:00:00,80+,12
322,2020-06-01T00:00:00,40-49,1
323,2020-06-01T00:00:00,60-69,3
324,2020-06-01T00:00:00,70-79,3
325,2020-06-01T00:00:00,80+,12
326,2020-06-02T00:00:00,50-59,2
327,2020-06-02T00:00:00,60-69,4
328,2020-06-02T00:00:00,70-79,8
329,2020-06-02T00:00:00,80+,7
330,2020-06-03T00:00:00,50-59,1
331,2020-06-03T00:00:00,60-69,8
332,2020-06-03T00:00:00,70-79,8
333,2020-06-03T00:00:00,80+,11
334,2020-06-04T00:00:00,40-49,2
335,2020-06-04T00:00:00,60-69,5
336,2020-06-04T00:00:00,70-79,4
337,2020-06-04T00:00:00,80+,12
338,2020-06-05T00:00:00,40-49,1
339,2020-06-05T00:00:00,50-59,2
340,2020-06-05T00:00:00,60-69,6
341,2020-06-05T00:00:00,70-79,5
342,2020-06-05T00:00:00,80+,7
343,2020-06-06T00:00:00,60-69,3
344,2020-06-06T00:00:00,70-79,1
345,2020-06-06T00:00:00,80+,6
346,2020-06-07T00:00:00,60-69,2
347,2020-06-07T00:00:00,70-79,6
348,2020-06-07T00:00:00,80+,6
349,2020-06-08T00:00:00,60-69,2
350,2020-06-08T00:00:00,70-79,5
351,2020-06-08T00:00:00,80+,9
352,2020-06-09T00:00:00,60-69,7
353,2020-06-09T00:00:00,70-79,6
354,2020-06-09T00:00:00,80+,13
355,2020-06-10T00:00:00,30-39,1
356,2020-06-10T00:00:00,60-69,1
357,2020-06-10T00:00:00,70-79,5
358,2020-06-10T00:00:00,80+,11
359,2020-06-11T00:00:00,50-59,2
360,2020-06-11T00:00:00,60-69,2
361,2020-06-11T00:00:00,70-79,4
362,2020-06-11T00:00:00,80+,7
363,2020-06-12T00:00:00,40-49,1
364,2020-06-12T00:00:00,50-59,1
365,2020-06-12T00:00:00,60-69,4
366,2020-06-12T00:00:00,70-79,3
367,2020-06-12T00:00:00,80+,7
368,2020-06-13T00:00:00,40-49,1
369,2020-06-13T00:00:00,50-59,1
370,2020-06-13T00:00:00,60-69,2
371,2020-06-13T00:00:00,70-79,6
372,2020-06-13T00:00:00,80+,3
373,2020-06-14T00:00:00,50-59,1
374,2020-06-14T00:00:00,60-69,1
375,2020-06-14T00:00:00,70-79,7
376,2020-06-14T00:00:00,80+,11
377,2020-06-15T00:00:00,30-39,1
378,2020-06-15T00:00:00,60-69,3
379,2020-06-15T00:00:00,70-79,1
380,2020-06-15T00:00:00,80+,10
381,2020-06-16T00:00:00,40-49,1
382,2020-06-16T00:00:00,50-59,1
383,2020-06-16T00:00:00,60-69,3
384,2020-06-16T00:00:00,70-79,7
385,2020-06-16T00:00:00,80+,3
386,2020-06-17T00:00:00,50-59,1
387,2020-06-17T00:00:00,60-69,3
388,2020-06-17T00:00:00,70-79,4
389,2020-06-17T00:00:00,80+,9
390,2020-06-18T00:00:00,60-69,4
391,2020-06-18T00:00:00,70-79,9
392,2020-06-18T00:00:00,80+,13
393,2020-06-19T00:00:00,50-59,1
394,2020-06-19T00:00:00,60-69,1
395,2020-06-19T00:00:00,70-79,1
396,2020-06-19T00:00:00,80+,8
397,2020-06-20T00:00:00,60-69,1
398,2020-06-20T00:00:00,70-79,1
399,2020-06-20T00:00:00,80+,8
400,2020-06-21T00:00:00,60-69,3
401,2020-06-21T00:00:00,70-79,4
402,2020-06-21T00:00:00,80+,5
403,2020-06-22T00:00:00,20-29,1
404,2020-06-22T00:00:00,40-49,1
405,2020-06-22T00:00:00,50-59,2
406,2020-06-22T00:00:00,60-69,2
407,2020-06-22T00:00:00,70-79,4
408,2020-06-22T00:00:00,80+,6
409,2020-06-23T00:00:00,70-79,1
410,2020-06-23T00:00:00,80+,4
411,2020-06-24T00:00:00,70-79,2
412,2020-06-24T00:00:00,80+,8
413,2020-06-25T00:00:00,60-69,2
414,2020-06-25T00:00:00,70-79,2
415,2020-06-25T00:00:00,80+,8
416,2020-06-26T00:00:00,30-39,1
417,2020-06-26T00:00:00,70-79,3
418,2020-06-26T00:00:00,80+,8
419,2020-06-27T00:00:00,60-69,1
420,2020-06-27T00:00:00,70-79,4
421,2020-06-27T00:00:00,80+,7
422,2020-06-28T00:00:00,60-69,3
423,2020-06-28T00:00:00,70-79,1
424,2020-06-28T00:00:00,80+,5
425,2020-06-29T00:00:00,50-59,2
426,2020-06-29T00:00:00,70-79,1
427,2020-06-29T00:00:00,80+,5
428,2020-06-30T00:00:00,50-59,1
429,2020-06-30T00:00:00,60-69,2
430,2020-06-30T00:00:00,70-79,2
431,2020-06-30T00:00:00,80+,5
432,2020-07-01T00:00:00,40-49,1
433,2020-07-01T00:00:00,50-59,1
434,2020-07-01T00:00:00,60-69,2
435,2020-07-01T00:00:00,70-79,1
436,2020-07-01T00:00:00,80+,7
437,2020-07-02T00:00:00,30-39,1
438,2020-07-02T00:00:00,70-79,2
439,2020-07-02T00:00:00,80+,6
440,2020-07-03T00:00:00,70-79,6
441,2020-07-03T00:00:00,80+,5
442,2020-07-04T00:00:00,50-59,1
443,2020-07-04T00:00:00,60-69,3
444,2020-07-04T00:00:00,70-79,1
445,2020-07-04T00:00:00,80+,2
446,2020-07-05T00:00:00,70-79,2
447,2020-07-05T00:00:00,80+,10
448,2020-07-06T00:00:00,50-59,3
449,2020-07-06T00:00:00,60-69,2
450,2020-07-06T00:00:00,70-79,3
451,2020-07-06T00:00:00,80+,8
452,2020-07-07T00:00:00,70-79,3
453,2020-07-07T00:00:00,80+,6
454,2020-07-08T00:00:00,20-29,1
455,2020-07-08T00:00:00,60-69,1
456,2020-07-08T00:00:00,70-79,2
457,2020-07-08T00:00:00,80+,4
458,2020-07-09T00:00:00,30-39,1
459,2020-07-09T00:00:00,40-49,1
460,2020-07-09T00:00:00,50-59,1
461,2020-07-09T00:00:00,60-69,3
462,2020-07-09T00:00:00,70-79,2
463,2020-07-09T00:00:00,80+,3
464,2020-07-10T00:00:00,50-59,1
465,2020-07-10T00:00:00,60-69,1
466,2020-07-10T00:00:00,70-79,3
467,2020-07-10T00:00:00,80+,2
468,2020-07-11T00:00:00,50-59,1
469,2020-07-11T00:00:00,70-79,5
470,2020-07-11T00:00:00,80+,5
471,2020-07-12T00:00:00,50-59,1
472,2020-07-12T00:00:00,70-79,6
473,2020-07-12T00:00:00,80+,5
474,2020-07-13T00:00:00,60-69,2
475,2020-07-13T00:00:00,70-79,3
476,2020-07-13T00:00:00,80+,4
477,2020-07-14T00:00:00,70-79,2
478,2020-07-14T00:00:00,80+,4
479,2020-07-15T00:00:00,60-69,2
480,2020-07-15T00:00:00,70-79,3
481,2020-07-15T00:00:00,80+,6
482,2020-07-16T00:00:00,60-69,2
483,2020-07-16T00:00:00,70-79,3
484,2020-07-16T00:00:00,80+,5
485,2020-07-17T00:00:00,60-69,3
486,2020-07-17T00:00:00,70-79,1
487,2020-07-17T00:00:00,80+,5
488,2020-07-18T00:00:00,50-59,1
489,2020-07-18T00:00:00,70-79,2
490,2020-07-18T00:00:00,80+,6
491,2020-07-19T00:00:00,50-59,1
492,2020-07-19T00:00:00,60-69,2
493,2020-07-19T00:00:00,70-79,1
494,2020-07-19T00:00:00,80+,6
495,2020-07-20T00:00:00,60-69,4
496,2020-07-20T00:00:00,70-79,5
497,2020-07-20T00:00:00,80+,5
498,2020-07-21T00:00:00,50-59,1
499,2020-07-21T00:00:00,60-69,1
500,2020-07-21T00:00:00,70-79,2
501,2020-07-21T00:00:00,80+,5
502,2020-07-22T00:00:00,50-59,1
503,2020-07-22T00:00:00,60-69,1
504,2020-07-22T00:00:00,70-79,1
505,2020-07-22T00:00:00,80+,10
506,2020-07-23T00:00:00,60-69,5
507,2020-07-23T00:00:00,70-79,2
508,2020-07-23T00:00:00,80+,3
509,2020-07-24T00:00:00,60-69,3
510,2020-07-24T00:00:00,70-79,5
511,2020-07-24T00:00:00,80+,3
512,2020-07-25T00:00:00,50-59,2
513,2020-07-25T00:00:00,70-79,3
514,2020-07-25T00:00:00,80+,6
515,2020-07-26T00:00:00,60-69,1
516,2020-07-26T00:00:00,70-79,2
517,2020-07-26T00:00:00,80+,7
518,2020-07-27T00:00:00,60-69,2
519,2020-07-27T00:00:00,70-79,1
520,2020-07-27T00:00:00,80+,1
521,2020-07-28T00:00:00,40-49,1
522,2020-07-28T00:00:00,60-69,1
523,2020-07-28T00:00:00,70-79,2
524,2020-07-28T00:00:00,80+,2
525,2020-07-29T00:00:00,20-29,1
526,2020-07-29T00:00:00,70-79,7
527,2020-07-29T00:00:00,80+,13
528,2020-07-30T00:00:00,50-59,2
529,2020-07-30T00:00:00,60-69,1
530,2020-07-30T00:00:00,70-79,2
531,2020-07-30T00:00:00,80+,4
532,2020-07-31T00:00:00,50-59,1
533,2020-07-31T00:00:00,60-69,2
534,2020-07-31T00:00:00,70-79,3
535,2020-07-31T00:00:00,80+,5
536,2020-08-01T00:00:00,50-59,1
537,2020-08-01T00:00:00,60-69,2
538,2020-08-01T00:00:00,70-79,4
539,2020-08-01T00:00:00,80+,6
540,2020-08-02T00:00:00,70-79,4
541,2020-08-02T00:00:00,80+,5
542,2020-08-03T00:00:00,40-49,1
543,2020-08-03T00:00:00,70-79,2
544,2020-08-03T00:00:00,80+,6
545,2020-08-04T00:00:00,50-59,2
546,2020-08-04T00:00:00,70-79,2
547,2020-08-04T00:00:00,80+,7
548,2020-08-05T00:00:00,60-69,2
549,2020-08-05T00:00:00,70-79,2
550,2020-08-05T00:00:00,80+,1
551,2020-08-06T00:00:00,60-69,2
552,2020-08-06T00:00:00,70-79,5
553,2020-08-06T00:00:00,80+,8
554,2020-08-07T00:00:00,40-49,1
555,2020-08-07T00:00:00,50-59,1
556,2020-08-07T00:00:00,60-69,1
557,2020-08-07T00:00:00,70-79,6
558,2020-08-07T00:00:00,80+,5
559,2020-08-08T00:00:00,50-59,1
560,2020-08-08T00:00:00,60-69,5
561,2020-08-08T00:00:00,70-79,2
562,2020-08-08T00:00:00,80+,4
563,2020-08-09T00:00:00,60-69,1
564,2020-08-09T00:00:00,70-79,3
565,2020-08-09T00:00:00,80+,3
566,2020-08-10T00:00:00,50-59,1
567,2020-08-10T00:00:00,60-69,2
568,2020-08-10T00:00:00,70-79,4
569,2020-08-10T00:00:00,80+,9
570,2020-08-11T00:00:00,50-59,1
571,2020-08-11T00:00:00,70-79,5
572,2020-08-11T00:00:00,80+,7
573,2020-08-12T00:00:00,50-59,1
574,2020-08-12T00:00:00,60-69,2
575,2020-08-12T00:00:00,70-79,3
576,2020-08-12T00:00:00,80+,9
577,2020-08-13T00:00:00,40-49,1
578,2020-08-13T00:00:00,50-59,1
579,2020-08-13T00:00:00,70-79,2
580,2020-08-13T00:00:00,80+,10
581,2020-08-14T00:00:00,50-59,1
582,2020-08-14T00:00:00,60-69,1
583,2020-08-14T00:00:00,70-79,6
584,2020-08-14T00:00:00,80+,9
585,2020-08-15T00:00:00,30-39,1
586,2020-08-15T00:00:00,50-59,1
587,2020-08-15T00:00:00,60-69,1
588,2020-08-15T00:00:00,70-79,4
589,2020-08-15T00:00:00,80+,5
590,2020-08-16T00:00:00,50-59,2
591,2020-08-16T00:00:00,60-69,3
592,2020-08-16T00:00:00,70-79,3
593,2020-08-16T00:00:00,80+,4
594,2020-08-17T00:00:00,20-29,1
595,2020-08-17T00:00:00,30-39,1
596,2020-08-17T00:00:00,50-59,1
597,2020-08-17T00:00:00,60-69,4
598,2020-08-17T00:00:00,70-79,6
599,2020-08-17T00:00:00,80+,9
600,2020-08-18T00:00:00,60-69,1
601,2020-08-18T00:00:00,70-79,3
602,2020-08-18T00:00:00,80+,1
603,2020-08-19T00:00:00,60-69,6
604,2020-08-19T00:00:00,70-79,5
605,2020-08-19T00:00:00,80+,6
606,2020-08-20T00:00:00,60-69,4
607,2020-08-20T00:00:00,70-79,4
608,2020-08-20T00:00:00,80+,8
609,2020-08-21T00:00:00,40-49,1
610,2020-08-21T00:00:00,50-59,1
611,2020-08-21T00:00:00,60-69,2
612,2020-08-21T00:00:00,70-79,1
