Year,Sex,Age Group,COVID-19 Deaths,Pneumonia Deaths,Influenza Deaths
2020.0,Female,45-54 years,1795.0,1743.0,21.0
2020.0,Female,50-64 years,5066.0,5265.0,51.0
2020.0,Female,55-64 years,4010.0,4222.0,42.0
2020.0,Female,65-74 years,6390.0,6866.0,66.0
2020.0,Female,75-84 years,7965.0,8680.0,72.0
2020.0,Female,85 years and over,9107.0,9375.0,80.0
2020.0,All Sexes,35-44 years,1160.0,830.0,15.0
2020.0,All Sexes,45-54 years,2659.0,2025.0,24.0
2020.0,All Sexes,50-64 years,7251.0,5894.0,71.0
2020.0,All Sexes,55-64 years,5593.0,4631.0,56.0
2020.0,All Sexes,65-74 years,8208.0,7019.0,73.0
2020.0,All Sexes,75-84 years,8400.0,7369.0,69.0
2020.0,All Sexes,85 years and over,5958.0,5016.0,37.0
2020.0,Male,45-54 years,1587.0,1179.0,12.0
2020.0,Male,50-64 years,4206.0,3384.0,30.0
2020.0,Male,55-64 years,3208.0,2642.0,22.0
2020.0,Male,65-74 years,4733.0,4060.0,39.0
2020.0,Male,75-84 years,4562.0,4087.0,33.0
2020.0,Male,85 years and over,2535.0,2288.0,15.0
2020.0,Female,45-54 years,1072.0,846.0,12.0
2020.0,Female,50-64 years,3045.0,2510.0,41.0
2020.0,Female,55-64 years,2385.0,1989.0,34.0
2020.0,Female,65-74 years,3475.0,2959.0,34.0
2020.0,Female,75-84 years,3838.0,3282.0,36.0
2020.0,Female,85 years and over,3423.0,2728.0,22.0
2020.0,All Sexes,25-34 years,27.0,24.0,0.0
2020.0,All Sexes,35-44 years,70.0,57.0,0.0
2020.0,Male,35-44 years,44.0,35.0,0.0
2020.0,Female,35-44 years,26.0,22.0,0.0
2020.0,Female,45-54 years,35.0,36.0,0.0
2020.0,All Sexes,65-74 years,1174.0,981.0,15.0
2020.0,All Sexes,75-84 years,1398.0,1167.0,12.0
2020.0,All Sexes,85 years and over,1324.0,956.0,17.0
2020.0,Male,25-34 years,23.0,14.0,0.0
2020.0,Female,1-4 years,0.0,0.0,0.0
2020.0,Female,35-44 years,50.0,34.0,0.0
2020.0,Female,45-54 years,101.0,77.0,0.0
2020.0,Female,85 years and over,672.0,487.0,11.0
2020.0,All Sexes,35-44 years,809.0,628.0,10.0
2020.0,All Sexes,45-54 years,1961.0,1628.0,10.0
2020.0,All Sexes,50-64 years,5728.0,5219.0,54.0
2020.0,All Sexes,55-64 years,4567.0,4208.0,46.0
2020.0,All Sexes,65-74 years,7607.0,7272.0,45.0
2020.0,All Sexes,75-84 years,8885.0,8739.0,68.0
2020.0,All Sexes,85 years and over,10229.0,9001.0,91.0
2020.0,Male,15-24 years,44.0,39.0,0.0
2020.0,Male,50-64 years,3676.0,3192.0,27.0
2020.0,Male,55-64 years,2914.0,2559.0,23.0
2020.0,Male,65-74 years,4610.0,4355.0,25.0
2020.0,Male,75-84 years,4975.0,4908.0,29.0
2020.0,Male,85 years and over,4374.0,4125.0,30.0
2020.0,Female,50-64 years,2052.0,2027.0,27.0
2020.0,Female,55-64 years,1653.0,1649.0,23.0
2020.0,Female,65-74 years,2997.0,2917.0,20.0
2020.0,Female,75-84 years,3910.0,3831.0,39.0
2020.0,Female,85 years and over,5855.0,4876.0,61.0
2020.0,All Sexes,45-54 years,1279.0,1200.0,21.0
2020.0,All Sexes,50-64 years,4004.0,3989.0,52.0
2020.0,All Sexes,55-64 years,3220.0,3255.0,39.0
2020.0,All Sexes,65-74 years,5402.0,5389.0,46.0
2020.0,All Sexes,75-84 years,6516.0,6050.0,62.0
2020.0,All Sexes,85 years and over,6667.0,5242.0,62.0
2020.0,Male,15-24 years,31.0,34.0,0.0
2020.0,Male,45-54 years,778.0,714.0,10.0
2020.0,Male,50-64 years,2395.0,2290.0,23.0
2020.0,Male,55-64 years,1937.0,1870.0,19.0
2020.0,Male,65-74 years,3143.0,3156.0,24.0
2020.0,Male,75-84 years,3582.0,3444.0,30.0
2020.0,Male,85 years and over,2790.0,2445.0,22.0
